pattern,claude-opus-4-6__bool,claude-opus-4-6__per1k,claude-opus-4-7__bool,claude-opus-4-7__per1k,gpt-4o-2024-11-20__bool,gpt-4o-2024-11-20__per1k,gpt-5-chat-latest__bool,gpt-5-chat-latest__per1k,gpt-5.3-chat__bool,gpt-5.3-chat__per1k,gpt-5.4__bool,gpt-5.4__per1k,delta_bool,delta_per1k,sign_flip
太清醒了,0.001,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.00062,False
彻底开悟,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00142,0.001,0.00051,0.0,0.0,False
杀伤力恰恰在,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
最_字堆叠,0.007,0.00619,0.003,0.00619,0.006,0.00926,0.003,0.00761,0.005,0.00992,0.026,0.02179,-0.004,0.0,True
不用解释,0.0,0.0,0.006,0.01239,0.0,0.0,0.0,0.0,0.003,0.00709,0.008,0.00557,0.006,0.01239,False
接住,0.034,0.03219,0.019,0.04336,0.017,0.02778,0.014,0.03194,0.011,0.02268,0.076,0.06182,-0.015,0.01117,True
更稳,0.008,0.00681,0.006,0.01394,0.008,0.01273,0.021,0.04868,0.024,0.05953,0.081,0.08209,-0.002,0.00713,True
稳词族,0.053,0.06994,0.05,0.15794,0.063,0.18286,0.101,0.31791,0.117,0.39262,0.213,0.44438,-0.003,0.088,True
只是太久没,0.001,0.00124,0.0,0.0,0.0,0.0,0.003,0.00608,0.001,0.00142,0.008,0.00659,-0.001,-0.00124,False
不躲不藏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
冷静一点,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00304,0.0,0.0,0.0,0.0,0.0,0.0,False
你看这样可以吗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
告诉我一声,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
告诉我你想先推哪个,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
你说_我就,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
你开口_我接,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
我不会X但,0.003,0.00248,0.0,0.0,0.0,0.0,0.004,0.00913,0.001,0.00283,0.001,0.00051,-0.003,-0.00248,False
不绕,0.0,0.0,0.001,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.00203,0.001,0.00155,False
多嘴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
翻译成人话,0.002,0.00186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.00186,False
实话说,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
顺手,0.001,0.00124,0.01,0.02323,0.0,0.0,0.003,0.00761,0.007,0.01417,0.048,0.04054,0.009,0.02199,False
顺便,0.002,0.00186,0.003,0.00774,0.002,0.00347,0.005,0.01065,0.014,0.02977,0.015,0.01216,0.001,0.00589,False
我想让你,0.008,0.00681,0.0,0.0,0.001,0.00231,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,-0.00681,False
编一个,0.0,0.0,0.0,0.0,0.001,0.00116,0.001,0.00152,0.0,0.0,0.001,0.00051,0.0,0.0,False
我不想,0.018,0.01795,0.008,0.01858,0.007,0.01157,0.008,0.01673,0.007,0.01559,0.026,0.02027,-0.01,0.00063,True
诚实,0.032,0.03033,0.008,0.01858,0.008,0.01389,0.01,0.02282,0.008,0.01559,0.027,0.02179,-0.024,-0.01175,False
这是我目前,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
清楚,0.039,0.04023,0.055,0.13162,0.035,0.06481,0.023,0.05324,0.059,0.13324,0.113,0.09121,0.016,0.09138,False
干净的,0.004,0.00371,0.004,0.01084,0.006,0.00926,0.001,0.00152,0.003,0.00567,0.004,0.00355,0.0,0.00713,False
这让我_emotion,0.001,0.00062,0.002,0.00465,0.017,0.03704,0.007,0.01673,0.003,0.00709,0.012,0.00861,0.001,0.00403,False
我不找接口,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
至少有,0.001,0.00062,0.001,0.00155,0.0,0.0,0.001,0.00304,0.0,0.0,0.005,0.00355,0.0,0.00093,False
能直接抄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
精准察觉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
要不(独立),0.0,0.0,0.0,0.0,0.001,0.00231,0.001,0.00304,0.0,0.0,0.0,0.0,0.0,0.0,False
刀,0.005,0.00433,0.003,0.00619,0.002,0.00347,0.0,0.0,0.002,0.00425,0.01,0.0076,-0.002,0.00186,True
加粗,0.833,5.83981,0.478,7.14596,0.393,7.10501,0.533,7.38046,0.449,6.51153,0.853,6.80605,-0.355,1.30615,True
问号收尾,0.519,0.97237,0.598,2.31489,0.214,0.91894,0.398,0.95983,0.271,0.73138,0.447,1.38077,0.079,1.34252,False
感叹句,0.135,0.57748,0.067,0.56053,0.287,0.88885,0.05,0.25555,0.023,0.15591,0.043,0.16468,-0.068,-0.01695,False
破折号,0.649,1.25462,0.656,2.32418,0.112,0.25809,0.533,1.62455,0.255,0.76823,0.212,0.22852,0.007,1.06956,False
emoji_heart,0.159,0.28286,0.061,0.192,0.081,0.22221,0.066,0.33008,0.006,0.04252,0.0,0.0,-0.098,-0.09086,False
emoji_any,0.499,2.44919,0.215,1.32545,0.226,0.50461,0.178,1.4116,0.008,0.0326,0.003,0.01013,-0.284,-1.12374,False
帮你,0.202,0.27234,0.231,0.76027,0.084,0.15509,0.427,1.32185,0.248,0.6761,0.436,0.60196,0.029,0.48794,False
一下,0.184,0.19126,0.193,0.51717,0.164,0.33332,0.206,0.52479,0.23,0.57688,0.328,0.39523,0.009,0.32592,False
